RunID,m1,m2,k1,k2,alpha,beta_ray,omega1,omega2,zeta1,zeta2
1,800,1600,160000,400000,2.904e-05,0.3464,10.7201629681726,20.8585259770632,0.0163121275694208,0.00860642474427924
2,800,1600,160000,400000,3.267e-05,0.3897,10.7201629681726,20.8585259770632,0.0183511435155984,0.00968222783731414
3,800,1600,160000,400000,3.63e-05,0.433,10.7201629681726,20.8585259770632,0.020390159461776,0.010758030930349
4,800,1600,160000,400000,3.993e-05,0.4763,10.7201629681726,20.8585259770632,0.0224291754079536,0.0118338340233839
5,800,1600,160000,400000,4.356e-05,0.5196,10.7201629681726,20.8585259770632,0.0244681913541312,0.0129096371164188
6,800,1600,160000,400000,4.719e-05,0.5629,10.7201629681726,20.8585259770632,0.0265072073003088,0.0139854402094538
7,800,1600,180000,450000,2.904e-05,0.3464,11.3704498953296,22.1238077459057,0.0153975656857211,0.00814990814109879
8,800,1600,180000,450000,3.267e-05,0.3897,11.3704498953296,22.1238077459057,0.0173222613964362,0.00916864665873614
9,800,1600,180000,450000,3.63e-05,0.433,11.3704498953296,22.1238077459057,0.0192469571071514,0.0101873851763735
10,800,1600,180000,450000,3.993e-05,0.4763,11.3704498953296,22.1238077459057,0.0211716528178665,0.0112061236940108
11,800,1600,180000,450000,4.356e-05,0.5196,11.3704498953296,22.1238077459057,0.0230963485285817,0.0122248622116482
12,800,1600,180000,450000,4.719e-05,0.5629,11.3704498953296,22.1238077459057,0.0250210442392968,0.0132436007292855
13,800,1600,200000,500000,2.904e-05,0.3464,11.9855065633549,23.3205409975793,0.0146248163522093,0.00776554315963482
14,800,1600,200000,500000,3.267e-05,0.3897,11.9855065633549,23.3205409975793,0.0164529183962355,0.00873623605458917
15,800,1600,200000,500000,3.63e-05,0.433,11.9855065633549,23.3205409975793,0.0182810204402616,0.00970692894954352
16,800,1600,200000,500000,3.993e-05,0.4763,11.9855065633549,23.3205409975793,0.0201091224842878,0.0106776218444979
17,800,1600,200000,500000,4.356e-05,0.5196,11.9855065633549,23.3205409975793,0.021937224528314,0.0116483147394522
18,800,1600,200000,500000,4.719e-05,0.5629,11.9855065633549,23.3205409975793,0.0237653265723401,0.0126190076344066
19,800,1600,220000,550000,2.904e-05,0.3464,12.570505333448,24.4587897423759,0.0139608083334589,0.00743644049034375
20,800,1600,220000,550000,3.267e-05,0.3897,12.570505333448,24.4587897423759,0.0157059093751413,0.00836599555163671
21,800,1600,220000,550000,3.63e-05,0.433,12.570505333448,24.4587897423759,0.0174510104168237,0.00929555061292968
22,800,1600,220000,550000,3.993e-05,0.4763,12.570505333448,24.4587897423759,0.019196111458506,0.0102251056742226
23,800,1600,220000,550000,4.356e-05,0.5196,12.570505333448,24.4587897423759,0.0209412125001884,0.0111546607355156
